ssh_uri,ssh_label,rel,aat_uri,aat_label
http://semantics.gr/authorities/SSH-LCSH/sh85028889,,http://www.w3.org/2004/02/skos/core#closeMatch,http://vocab.getty.edu/aat/300055912,commedia dell'arte
http://semantics.gr/authorities/SSH-LCSH/sh85081863,Mass media,http://www.w3.org/2004/02/skos/core#closeMatch,http://vocab.getty.edu/aat/300055812,mass media
http://semantics.gr/authorities/SSH-LCSH/sh85067272,Interior decoration,http://www.w3.org/2004/02/skos/core#closeMatch,http://vocab.getty.edu/aat/300161596,interior decoration
http://semantics.gr/authorities/SSH-LCSH/sh85066150,Information science,http://www.w3.org/2004/02/skos/core#closeMatch,http://vocab.getty.edu/aat/300054574,information science
http://semantics.gr/authorities/SSH-LCSH/sh85076723,Library science,http://www.w3.org/2004/02/skos/core#closeMatch,http://vocab.getty.edu/aat/300054576,library science
http://semantics.gr/authorities/SSH-LCSH/sh85108411,Psychoanalysis,http://www.w3.org/2004/02/skos/core#closeMatch,http://vocab.getty.edu/aat/300054450,psychoanalysis
http://semantics.gr/authorities/SSH-LCSH/sh85148092,Word (Linguistics),http://www.w3.org/2004/02/skos/core#closeMatch,http://vocab.getty.edu/aat/300250895,words
http://semantics.gr/authorities/SSH-LCSH/sh85036316,Decorative arts,http://www.w3.org/2004/02/skos/core#closeMatch,http://vocab.getty.edu/aat/300054168,decorative arts
http://semantics.gr/authorities/SSH-LCSH/sh85119950,Semiotics,http://www.w3.org/2004/02/skos/core#closeMatch,http://vocab.getty.edu/aat/300054254,semiotics
http://semantics.gr/authorities/SSH-LCSH/sh85015738,Books,http://www.w3.org/2004/02/skos/core#closeMatch,http://vocab.getty.edu/aat/300028051,books
http://semantics.gr/authorities/SSH-LCSH/sh85006611,Architecture,http://www.w3.org/2004/02/skos/core#closeMatch,http://vocab.getty.edu/aat/300263552,architecture
http://semantics.gr/authorities/SSH-LCSH/sh89004185,Puppet theater,http://www.w3.org/2004/02/skos/core#closeMatch,http://vocab.getty.edu/aat/300248147,puppetry
http://semantics.gr/authorities/SSH-LCSH/sh86004693,Wearable art,http://www.w3.org/2004/02/skos/core#closeMatch,http://vocab.getty.edu/aat/300419259,wearable art
http://semantics.gr/authorities/SSH-LCSH/sh85112623,Religious drama,http://www.w3.org/2004/02/skos/core#closeMatch,http://vocab.getty.edu/aat/300055913,religious drama
http://semantics.gr/authorities/SSH-LCSH/sh85074518,Language and languages,http://www.w3.org/2004/02/skos/core#closeMatch,http://vocab.getty.edu/aat/300055193,language
http://semantics.gr/authorities/SSH-LCSH/sh85061192,Historical linguistics,http://www.w3.org/2004/02/skos/core#closeMatch,http://vocab.getty.edu/aat/300389745,ancient languages
http://semantics.gr/authorities/SSH-LCSH/sh85093206,Number concept,http://www.w3.org/2004/02/skos/core#closeMatch,http://vocab.getty.edu/aat/300055665,numbers
http://semantics.gr/authorities/SSH-LCSH/sh85011718,Baptism,http://www.w3.org/2004/02/skos/core#closeMatch,http://vocab.getty.edu/aat/300069030,baptisms
http://semantics.gr/authorities/SSH-LCSH/sh85129216,Structural analysis (Engineering),http://www.w3.org/2004/02/skos/core#closeMatch,http://vocab.getty.edu/aat/300056397,structural analysis
http://semantics.gr/authorities/SSH-LCSH/sh85082063,Materialism,http://www.w3.org/2004/02/skos/core#closeMatch,http://vocab.getty.edu/aat/300055793,materialism
http://semantics.gr/authorities/SSH-LCSH/sh85082063,Materialism,http://www.w3.org/2004/02/skos/core#closeMatch,http://vocab.getty.edu/aat/300311113,materialism
http://semantics.gr/authorities/SSH-LCSH/sh85032203,Cooperation,http://www.w3.org/2004/02/skos/core#closeMatch,http://vocab.getty.edu/aat/300379396,cooperation
http://semantics.gr/authorities/SSH-LCSH/sh85112690,Religious literature,http://www.w3.org/2004/02/skos/core#closeMatch,http://vocab.getty.edu/aat/300417817,religious literature
http://semantics.gr/authorities/SSH-LCSH/sh85141939,Values,http://www.w3.org/2004/02/skos/core#closeMatch,http://vocab.getty.edu/aat/300379408,values
http://semantics.gr/authorities/SSH-LCSH/sh85015617,Book industries and trade,http://www.w3.org/2004/02/skos/core#closeMatch,http://vocab.getty.edu/aat/300264557,bookselling
http://semantics.gr/authorities/SSH-LCSH/sh85141624,Utilitarianism,http://www.w3.org/2004/02/skos/core#closeMatch,http://vocab.getty.edu/aat/300055979,utilitarianism
http://semantics.gr/authorities/SSH-LCSH/sh85077222,Linguistics,http://www.w3.org/2004/02/skos/core#closeMatch,http://vocab.getty.edu/aat/300054245,linguistics
http://semantics.gr/authorities/SSH-LCSH/sh85005746,Antiques,http://www.w3.org/2004/02/skos/core#closeMatch,http://vocab.getty.edu/aat/300117125,antiques
http://semantics.gr/authorities/SSH-LCSH/sh85078595,Romance fiction,http://www.w3.org/2004/02/skos/core#closeMatch,http://vocab.getty.edu/aat/300255278,romantic fiction
http://semantics.gr/authorities/SSH-LCSH/sh85041059,"Education, Elementary",http://www.w3.org/2004/02/skos/core#closeMatch,http://vocab.getty.edu/aat/300054367,elementary education
http://semantics.gr/authorities/SSH-LCSH/sh85091972,Nimbus (Art),http://www.w3.org/2004/02/skos/core#closeMatch,http://vocab.getty.edu/aat/300375684,halos
http://semantics.gr/authorities/SSH-LCSH/sh85030733,Concrete poetry,http://www.w3.org/2004/02/skos/core#closeMatch,http://vocab.getty.edu/aat/300251499,concrete poems
http://semantics.gr/authorities/SSH-LCSH/sh85065686,Individualism,http://www.w3.org/2004/02/skos/core#closeMatch,http://vocab.getty.edu/aat/300055966,individualism
http://semantics.gr/authorities/SSH-LCSH/sh85127907,Stele (Archaeology),http://www.w3.org/2004/02/skos/core#closeMatch,http://vocab.getty.edu/aat/300007023,stelae
http://semantics.gr/authorities/SSH-LCSH/sh85044503,Equality,http://www.w3.org/2004/02/skos/core#closeMatch,http://vocab.getty.edu/aat/300379138,equality
http://semantics.gr/authorities/SSH-LCSH/sh85081416,Marriage,http://www.w3.org/2004/02/skos/core#closeMatch,http://vocab.getty.edu/aat/300055475,marriage
http://semantics.gr/authorities/SSH-LCSH/sh85108452,Psychologism,http://www.w3.org/2004/02/skos/core#closeMatch,http://vocab.getty.edu/aat/300065377,psychologism
http://semantics.gr/authorities/SSH-LCSH/sh85120378,Sestinas,http://www.w3.org/2004/02/skos/core#closeMatch,http://vocab.getty.edu/aat/300266383,sestinas
http://semantics.gr/authorities/SSH-LCSH/sh85036659,Demography,http://www.w3.org/2004/02/skos/core#closeMatch,http://vocab.getty.edu/aat/300054357,demography
http://semantics.gr/authorities/SSH-LCSH/sh85081842,Masques,http://www.w3.org/2004/02/skos/core#closeMatch,http://vocab.getty.edu/aat/300189655,masques
http://semantics.gr/authorities/SSH-LCSH/sh85039847,Dualism,http://www.w3.org/2004/02/skos/core#closeMatch,http://vocab.getty.edu/aat/300056261,dualism
http://semantics.gr/authorities/SSH-LCSH/sh85068153,Iron age,http://www.w3.org/2004/02/skos/core#closeMatch,http://vocab.getty.edu/aat/300019279,Iron Age
http://semantics.gr/authorities/SSH-LCSH/sh85044272,Epic literature,http://www.w3.org/2004/02/skos/core#closeMatch,http://vocab.getty.edu/aat/300404209,epic literature
http://semantics.gr/authorities/SSH-LCSH/sh85116928,Salvation,http://www.w3.org/2004/02/skos/core#closeMatch,http://vocab.getty.edu/aat/300056003,salvation
http://semantics.gr/authorities/SSH-LCSH/sh85042818,Emotions,http://www.w3.org/2004/02/skos/core#closeMatch,http://vocab.getty.edu/aat/300055150,emotion
http://semantics.gr/authorities/SSH-LCSH/sh85088531,Mural painting and decoration,http://www.w3.org/2004/02/skos/core#closeMatch,http://vocab.getty.edu/aat/300033644,mural paintings
http://semantics.gr/authorities/SSH-LCSH/sh85034149,Criticism,http://www.w3.org/2004/02/skos/core#closeMatch,http://vocab.getty.edu/aat/300174160,literary criticism
http://semantics.gr/authorities/SSH-LCSH/sh85041557,Elections,http://www.w3.org/2004/02/skos/core#closeMatch,http://vocab.getty.edu/aat/300069260,elections
http://semantics.gr/authorities/SSH-LCSH/sh85077224,Computational linguistics,http://www.w3.org/2004/02/skos/core#closeMatch,http://vocab.getty.edu/aat/300054250,computational linguistics
http://semantics.gr/authorities/SSH-LCSH/sh85112112,Redemption,http://www.w3.org/2004/02/skos/core#closeMatch,http://vocab.getty.edu/aat/300379085,redemption
http://semantics.gr/authorities/SSH-LCSH/sh2004003366,Publications,http://www.w3.org/2004/02/skos/core#closeMatch,http://vocab.getty.edu/aat/300111999,publications
http://semantics.gr/authorities/SSH-LCSH/sh85036316,Decorative arts,http://www.w3.org/2004/02/skos/core#closeMatch,http://vocab.getty.edu/aat/300411641,decorative art
http://semantics.gr/authorities/SSH-LCSH/sh85019646,Canon law,http://www.w3.org/2004/02/skos/core#closeMatch,http://vocab.getty.edu/aat/300235953,canon law
http://semantics.gr/authorities/SSH-LCSH/sh85077482,Literacy,http://www.w3.org/2004/02/skos/core#closeMatch,http://vocab.getty.edu/aat/300250434,literacy
http://semantics.gr/authorities/SSH-LCSH/sh85014152,Biography,http://www.w3.org/2004/02/skos/core#closeMatch,http://vocab.getty.edu/aat/300055908,biography
http://semantics.gr/authorities/SSH-LCSH/sh85006522,Archaisms (Linguistics),http://www.w3.org/2004/02/skos/core#closeMatch,http://vocab.getty.edu/aat/300055774,archaism
http://semantics.gr/authorities/SSH-LCSH/sh85119870,Semantics,http://www.w3.org/2004/02/skos/core#closeMatch,http://vocab.getty.edu/aat/300054268,semantics
http://semantics.gr/authorities/SSH-LCSH/sh85085046,,http://www.w3.org/2004/02/skos/core#closeMatch,http://vocab.getty.edu/aat/300211809,midrash
http://semantics.gr/authorities/SSH-LCSH/sh85109445,Quality of life,http://www.w3.org/2004/02/skos/core#closeMatch,http://vocab.getty.edu/aat/300055308,quality of life
http://semantics.gr/authorities/SSH-LCSH/sh85062956,Humorous poetry,http://www.w3.org/2004/02/skos/core#closeMatch,http://vocab.getty.edu/aat/300417806,humorous poetry
